,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
59,Vice President- Data & Analytics,-1,"Delivering deep insights to inform business decisions using advanced data science and modelling approaches. Design and build our AI/ML products /microservices……
Skills: DevOps, Analysis skills, Agile, AI, Analytics",4.2,LEGO,"Boston, MA",10000+ Employees,1932,Company - Private,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/vice-president-data-analytics-lego-JV_IC1154532_KO0,29_KE30,34.htm?jl=1009372429151"
60,AI Manager,$95K - $185K (Employer est.),"Make informed decisions on whether to develop AI solutions internally or procure them externally. A Bachelor's degree in AI, Computer Science, Data Science,……
Skills: Software deployment, Project management, Machine learning, Product management, AI",3.8,"Ingenio, LLC","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/ai-manager-ingenio-llc-JV_IC1147401_KO0,10_KE11,22.htm?jl=1009371222514"
61,Data Scientist,$98K - $209K (Employer est.),"O Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 5+ years data……
Skills: R, Analysis skills, Machine learning, Data science, Python",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-microsoft-JV_IC1150499_KO0,14_KE15,24.htm?jl=1009359006935"
62,Lead Data Scientist - People Analytics,$127K - $175K (Employer est.),"Exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision, uses……
Skills: Statistics, Power BI, Microsoft Excel, Microsoft SQL Server, SSRS",3.8,Humana,Remote,10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/lead-data-scientist-people-analytics-humana-JV_KO0,36_KE37,43.htm?jl=1009379190873"
63,"Vice President, Data Science",$220K - $283K (Employer est.),"Be a technical leader for the data science team, helping institute best practices (coding standards, automated testing, scalability) and growing the technical……
Skills: Customer service, Analysis skills, Machine learning, Quantitative analysis, AI",3.7,Insurity,Remote,501 to 1000 Employees,1971,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/vice-president-data-science-insurity-JV_KO0,27_KE28,36.htm?jl=1009317458983"
64,"Sr. Analyst, Data Science Analytics",$95K - $115K (Employer est.),"Gather and define business requirements for data science tools and models and work with internal partners to ensure pipeline for future business analyses.…
Skills: R, E-commerce, Tableau, SQL, Data analytics",4.1,Tapestry,"New York, NY",10000+ Employees,2017,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/sr-analyst-data-science-analytics-tapestry-JV_IC1132348_KO0,33_KE34,42.htm?jl=1009378952030"
65,Senior Data & Analytics Program Manager (Remote),$118K - $220K (Employer est.),"This program leader will own governance capability and liaise across technical and business leaders to drive the adoption of new capabilities through strong……
Skills: Scrum, Agile, Leadership",3.9,IQVIA,Remote,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-data-analytics-program-manager-remote-iqvia-JV_KO0,44_KE45,50.htm?jl=1009372370815"
66,VP of Data and Analytics,$192K - $216K (Employer est.),"15+ years of analytics & data management/analysis experience, including extensive knowledge of database schemas, data dictionaries, field mappings, data……
Skills: Computer science, Data mining, Management, Statistical analysis, Analysis skills",4.2,"eMoney Advisor, LLC",Remote,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/vp-of-data-and-analytics-emoney-advisor-llc-JV_KO0,24_KE25,43.htm?jl=1009367619237"
67,Data Science- Remote,$81K - $136K (Employer est.),"You will work closely with multi-functional teams to analyze complex datasets develop predictive models and implement data-driven strategies.…
Skills: Azure, Big data, Data structures, Data analysis skills, Microsoft SQL Server",3.7,Cognizant,"Johnston, RI",10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-science-remote-cognizant-JV_IC1151270_KO0,19_KE20,29.htm?jl=1009368622577"
68,Senior Data Scientist,$145K - $194K (Employer est.),"Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the……
Skills: R, Tableau, SQL, Analysis skills, Regression analysis",3.9,Atlassian,"San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-data-scientist-atlassian-JV_IC1147401_KO0,21_KE22,31.htm?jl=1009366994308"
69,Lead Data Engineer,$177K - $265K (Employer est.),"Own the technical architecture, design, and implementation of scalable data platforms, pipelines, and feature stores to support sophisticated statistical and……
Skills: Computer science, Data modeling, Big data, Spark, Google Cloud Platform",4.1,Salesforce,"San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/lead-data-engineer-salesforce-JV_IC1147401_KO0,18_KE19,29.htm?jl=1009373982411"
70,"Senior Associate, Data Science - People Analytics",-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM” field (Science……
Skills: Relational databases, R, Data analysis skills, Databases, SQL",3.9,Capital One,"Richmond, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-associate-data-science-people-analytics-capital-one-JV_IC1130198_KO0,46_KE47,58.htm?jl=1009367266446"
71,Data Science Manager,$190K - $220K (Employer est.),"Strong verbal and written communications skills, listening and teamwork skills, and effective presentation skills, with the ability to present complex technical……
Skills: Ontology, Statistics, Growing experience, Management, DevOps",-1,Caden,"New York, NY",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-science-manager-caden-JV_IC1132348_KO0,20_KE21,26.htm?jl=1009209923444"
72,Lead Data Science Engineer (Marketing),$141K - $211K (Employer est.),"In this role develop advanced machine learning models, collaborate with marketing teams, and integrate scalable data science solutions into production systems.…
Skills: Statistics, Computer science, R, Machine learning, Data science",4.0,DraftKings,"Boston, MA",1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/lead-data-science-engineer-marketing-draftkings-JV_IC1154532_KO0,36_KE37,47.htm?jl=1009381165928"
73,Data Scientist,-1,"Explains analysis to technical and non-technical audiences of both internal and external customers, including senior leadership and physicians.…
Skills: Computer science, Microsoft Excel, Data mining, R, Data analysis skills",4.1,Blue Cross of Idaho,"Meridian, ID",1001 to 5000 Employees,1945,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-blue-cross-of-idaho-JV_IC1127945_KO0,14_KE15,34.htm?jl=1009370987470"
74,"Vice President, Data Science",$220K - $283K (Employer est.),"Be a technical leader for the data science team, helping institute best practices (coding standards, automated testing, scalability) and growing the technical……
Skills: Customer service, Analysis skills, Machine learning, Quantitative analysis, AI",3.1,Instec Corp,Remote,Unknown,--,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/vice-president-data-science-instec-corp-JV_KO0,27_KE28,39.htm?jl=1009317576346"
75,Data Scientist 2,$97K - $131K (Employer est.),"Candidates must live in the immediate area or relocate at their own expense. Connect systems and large data sets across business units and functions to develop……
Skills: SQL, Statistical analysis, Analysis skills, Data analytics",3.8,BOEING,"Dallas, TX",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-2-boeing-JV_IC1139977_KO0,16_KE17,23.htm?jl=1009373693024"
76,Business Analyst - Data Science,-1,"Generally 2-5 years of experience in a related field OR MS/MA and generally 2-4 years of experience in a related field. Experience working with data teams.…
Skills: Power BI, Waterfall, Data analysis skills, Tableau, SQL",3.5,White Cap,Georgia,5001 to 10000 Employees,1976,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/business-analyst-data-science-white-cap-JV_KO0,29_KE30,39.htm?jl=1009373333225"
77,"Product Analytics, Senior Associate",$87K - $120K (Glassdoor est.),"You are skilled at creating meaningful analysis with large, complex datasets and using query languages, ETL tools, data modeling, and data visualization.…
Skills: Power BI, R, Tableau, SQL, Analysis skills",4.1,Athenahealth,"Boston, MA",5001 to 10000 Employees,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/product-analytics-senior-associate-athenahealth-JV_IC1154532_KO0,34_KE35,47.htm?jl=1009250015078"
78,"Data Science Analyst/Engineer, Mid",$102K - $138K (Employer est.),"Bachelor's degree in Systems Engineering or in related technical or scientific fields such as engineering, physics, mathematics, operations research,……
Skills: Microsoft Powerpoint, Microsoft Excel, XML, Microsoft Office, Analysis skills",5.0,Dhara Consulting Group,"Springfield, VA",1 to 50 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/data-science-analyst-engineer-mid-dhara-consulting-group-JV_IC1130409_KO0,33_KE34,56.htm?jl=1009381770937"
79,Dir Data Science,$152K - $328K (Employer est.),"Collaborate with cross-functional partners in operations, finance, marketing, and engineering to understand business imperatives and scope data science projects……
Skills: Data mining, SQL, Machine learning, Data science, Leadership",3.4,Fanatics Inc.,"San Mateo, CA",10000+ Employees,1996,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/dir-data-science-fanatics-inc-JV_IC1147406_KO0,16_KE17,29.htm?jl=1009342703095"
80,Data Scientist,-1,"Communication: Excellent written and verbal communication skills, with the ability to explain technical concepts to non-technical stakeholders.…
Skills: TensorFlow, Data analysis skills, SQL, Analysis skills, Machine learning",3.5,Westfield Insurance,United States,1001 to 5000 Employees,1848,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-westfield-insurance-JV_KO0,14_KE15,34.htm?jl=1009379290573"
81,People Analytics Data Scientist,$133K - $209K (Employer est.),"Stay current with industry trends and best practices in people analytics and data science, and contribute to the development of new methodologies and tools.…
Skills: Statistical software, Statistics, R, SQL, Machine learning",4.0,Takeda Pharmaceutical,"Lexington, MA",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/people-analytics-data-scientist-takeda-pharmaceutical-JV_IC1154599_KO0,31_KE32,53.htm?jl=1009369681673"
82,"Data Engineer II, Amazon Search, Search Data Science",$119K - $206K (Employer est.),"We spend time on evaluating experiments to develop durable learnings. 3+ years of data engineering experience.…
Skills: Data modeling, Relational databases, Databases, AWS, S3",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-engineer-ii-amazon-search-search-data-science-amazon-com-services-llc-JV_IC1150505_KO0,50_KE51,74.htm?jl=1009347905332"
